DrugID,Drug_Target
DB01481,367
DB01541,367
DB01564,367
DB02266,367
DB02901,367
DB02932,367
DB02998,367
DB04709,367
DB04839,367
DB06710,367
DB06870,367
DB07039,367
DB07286,367
DB07419,367
DB07421,367
DB07422,367
DB07423,367
DB07454,367
DB07717,367
DB07769,367
DB08035,367
DB08087,367
DB08088,367
DB08089,367
DB08461,367
DB08804,367
DB00157,217
DB00536,217
DB00822,217
DB01907,217
DB02115,217
DB04381,217
DB00014,3973
DB00032,3973
DB00044,3973
DB00050,3973
DB00097,3973
DB06719,3973
DB00157,501
DB00165,501
DB00157,4729
DB00126,1621
DB00822,1621
DB00988,1621
DB00171,10939
DB00252,6323
DB00273,6323
DB00909,6323
DB01121,6323
DB01438,6323
DB01595,6323
DB04930,6323
DB00361,203068
DB00541,203068
DB00570,203068
DB01179,203068
DB01394,203068
DB01873,203068
DB03010,203068
DB00210,5916
DB00459,5916
DB00523,5916
DB00755,5916
DB00799,5916
DB00926,5916
DB02258,5916
DB02466,5916
DB02741,5916
DB03279,5916
DB03466,5916
DB07031,5916
DB07294,5916
DB00246,1816
DB00248,1816
DB00268,1816
DB00334,1816
DB00413,1816
DB00589,1816
DB00714,1816
DB00800,1816
DB00988,1816
DB01038,1816
DB01186,1816
DB01200,1816
DB01224,1816
DB01235,1816
DB01238,1816
DB01403,1816
DB01624,1816
DB05271,1816
DB00363,59340
DB00667,59340
DB00398,2322
DB01268,2322
DB00157,4200
DB01677,4200
DB01907,4200
DB03499,4200
DB03589,4200
DB00157,3948
DB00114,9054
DB00151,9054
DB00160,9054
DB00139,7915
DB00157,7915
DB00534,7915
DB00308,3775
DB00908,3775
DB01346,3775
DB00724,51284
DB01611,51284
DB00409,10280
DB00514,10280
DB00652,10280
DB01488,10280
DB03575,10280
DB00152,27010
DB04768,27010
DB00121,3141
DB00157,1727
DB01907,1727
DB03147,1727
DB00157,26227
DB00157,4967
DB00112,7422
DB01017,7422
DB01120,7422
DB01136,7422
DB01270,7422
DB03088,7422
DB03754,7422
DB06779,7422
DB00114,10993
DB00133,10993
DB00035,552
DB00067,552
DB00093,552
DB00872,552
DB02638,552
DB00142,2729
DB00151,2729
DB00290,3980
DB00157,4697
DB04447,4482
DB00148,548596
DB00187,153
DB00195,153
DB00221,153
DB00264,153
DB00335,153
DB00368,153
DB00373,153
DB00397,153
DB00489,153
DB00521,153
DB00571,153
DB00598,153
DB00612,153
DB00668,153
DB00841,153
DB00852,153
DB00866,153
DB00960,153
DB01001,153
DB01064,153
DB01102,153
DB01118,153
DB01136,153
DB01151,153
DB01193,153
DB01203,153
DB01210,153
DB01214,153
DB01288,153
DB01291,153
DB01295,153
DB01297,153
DB01359,153
DB01363,153
DB01407,153
DB01580,153
DB04861,153
DB06262,153
DB08347,153
DB08558,153
DB08807,153
DB08808,153
DB00157,4718
DB01136,4718
DB00157,622
DB00139,6389
DB04141,6389
DB04657,6389
DB04795,6389
DB08689,6389
DB00281,6336
DB00296,6336
DB00297,6336
DB00473,6336
DB00527,6336
DB00645,6336
DB00721,6336
DB00807,6336
DB00892,6336
DB00907,6336
DB00961,6336
DB01002,6336
DB01086,6336
DB01161,6336
DB01173,6336
DB00583,1376
DB01074,1376
DB00142,2746
DB00157,2746
DB00756,2746
DB01907,2746
DB03431,2746
DB04137,2746
DB00114,55163
DB03247,55163
DB03345,55163
DB00203,8654
DB00277,8654
DB00806,8654
DB00820,8654
DB00862,8654
DB00975,8654
DB01972,8654
DB03597,8654
DB04272,8654
DB06267,8654
DB07954,8654
DB08729,8654
DB00157,51478
DB00143,2937
DB00145,2937
DB00151,2937
DB03408,2937
DB03431,2937
DB04395,2937
DB00128,443
DB00142,2058
DB00172,2058
DB02510,2058
DB02684,2058
DB03376,2058
DB00144,949
DB00384,6337
DB00594,6337
DB00157,4722
DB00907,11280
DB00909,11280
DB00157,222
DB00157,3292
DB01536,3292
DB01561,3292
DB01708,3292
DB01907,3292
DB02187,3292
DB02323,3292
DB02901,3292
DB03461,3292
DB00192,6331
DB00252,6331
DB00280,6331
DB00281,6331
DB00379,6331
DB00473,6331
DB00527,6331
DB00532,6331
DB00564,6331
DB00661,6331
DB00680,6331
DB00740,6331
DB00750,6331
DB00754,6331
DB00776,6331
DB00868,6331
DB00907,6331
DB00908,6331
DB00909,6331
DB01035,6331
DB01056,6331
DB01182,6331
DB01195,6331
DB01228,6331
DB01320,6331
DB01346,6331
DB01426,6331
DB01429,6331
DB00123,3735
DB00290,3978
DB00171,8883
DB00007,2798
DB00014,2798
DB00050,2798
DB00106,2798
DB00644,2798
DB00666,2798
DB01406,2798
DB06699,2798
DB06719,2798
DB00149,23395
DB00102,5159
DB00398,5159
DB00619,5159
DB01254,5159
DB01268,5159
DB00210,5915
DB00459,5915
DB00523,5915
DB00799,5915
DB00926,5915
DB02877,5915
DB04942,5915
DB00171,6833
DB00222,6833
DB00672,6833
DB00731,6833
DB00912,6833
DB01016,6833
DB01067,6833
DB01120,6833
DB01124,6833
DB01251,6833
DB01252,6833
DB01289,6833
DB01382,6833
DB00157,2819
DB00204,3776
DB00009,5340
DB00013,5340
DB00015,5340
DB00029,5340
DB00031,5340
DB00086,5340
DB00302,5340
DB00513,5340
DB03709,5340
DB06692,5340
DB00157,4700
DB02196,28
DB03435,28
DB03501,28
DB03772,28
DB04141,28
DB04678,28
DB04679,28
DB04680,28
DB04681,28
DB07341,28
DB07357,28
DB07378,28
DB07633,28
DB00159,5468
DB00197,5468
DB00244,5468
DB00328,5468
DB00412,5468
DB00731,5468
DB00795,5468
DB00912,5468
DB00966,5468
DB01014,5468
DB01067,5468
DB01132,5468
DB01252,5468
DB01393,5468
DB04270,5468
DB04689,5468
DB06908,5468
DB06926,5468
DB07053,5468
DB07111,5468
DB07172,5468
DB07208,5468
DB07209,5468
DB07509,5468
DB07675,5468
DB07723,5468
DB07724,5468
DB07842,5468
DB07863,5468
DB08121,5468
DB08302,5468
DB08402,5468
DB08435,5468
DB08483,5468
DB08560,5468
DB08760,5468
DB00025,2159
DB00036,2159
DB00100,2159
DB00170,2159
DB00569,2159
DB01109,2159
DB01225,2159
DB03847,2159
DB04673,2159
DB06228,2159
DB06920,2159
DB07211,2159
DB07261,2159
DB07277,2159
DB07278,2159
DB07605,2159
DB07629,2159
DB07630,2159
DB07800,2159
DB07804,2159
DB07843,2159
DB07844,2159
DB07847,2159
DB07848,2159
DB07872,2159
DB07875,2159
DB07973,2159
DB07974,2159
DB08143,2159
DB08173,2159
DB08174,2159
DB08426,2159
DB08477,2159
DB08487,2159
DB08488,2159
DB08495,2159
DB08745,2159
DB08746,2159
DB00181,2550
DB00837,2550
DB01080,2550
DB00228,27032
DB00753,27032
DB01028,27032
DB01159,27032
DB01189,27032
DB01236,27032
DB01373,27032
DB00128,440
DB00142,440
DB00171,440
DB00174,440
DB00157,4835
DB00170,4835
DB01065,4835
DB01087,4835
DB02709,4835
DB03147,4835
DB03541,4835
DB04253,4835
DB07339,4835
DB08190,4835
DB08228,4835
DB08744,4835
DB00178,1636
DB00492,1636
DB00519,1636
DB00542,1636
DB00584,1636
DB00616,1636
DB00691,1636
DB00722,1636
DB00790,1636
DB00881,1636
DB01180,1636
DB01197,1636
DB01340,1636
DB01348,1636
DB02032,1636
DB03740,1636
DB00161,7407
DB00157,4694
DB00157,5831
DB00172,5831
DB00157,124
DB00898,124
DB01213,124
DB01907,124
DB02721,124
DB04065,124
DB00150,7453
DB01831,7453
DB04537,7453
DB00606,486
DB00135,8565
DB01766,8565
DB03978,8565
DB07205,8565
DB08371,8565
DB08617,8565
DB00157,4329
DB01094,4547
DB00156,6897
DB00200,6947
DB00009,5054
DB00013,5054
DB00015,5054
DB00029,5054
DB00031,5054
DB00055,5054
DB00197,5054
DB00277,136
DB00640,136
DB00824,136
DB04932,136
DB00648,2230
DB00157,4711
DB00157,8659
DB00157,4716
DB01229,596
DB01248,596
DB01367,596
DB00246,1133
DB00321,1133
DB00334,1133
DB00340,1133
DB00363,1133
DB00376,1133
DB00420,1133
DB00458,1133
DB00496,1133
DB00540,1133
DB00572,1133
DB00622,1133
DB00715,1133
DB00725,1133
DB00747,1133
DB00767,1133
DB00777,1133
DB00785,1133
DB00835,1133
DB00934,1133
DB01036,1133
DB01069,1133
DB01142,1133
DB01151,1133
DB01224,1133
DB01238,1133
DB01239,1133
DB01403,1133
DB01591,1133
DB06702,1133
DB00163,240
DB00179,240
DB00233,240
DB00244,240
DB00471,240
DB00586,240
DB00711,240
DB00744,240
DB00795,240
DB00939,240
DB01014,240
DB01017,240
DB01097,240
DB01892,240
DB03014,240
DB00242,4860
DB00900,4860
DB01667,4860
